year,section,question_number,question_text,question_type,marks,difficulty_label,topic,answer_text
2016,Section B (Python),1b,Name Python Library modules to import for: (i) sqrt() (ii) dump(),Very Short Answer,1,easy,Python Library Modules,(i) math (ii) pickle
2016,Section B (Python),1c,Rewrite removing syntax errors: for Name in [Ramesh Suraj Priya] IF Name[0]=S: print(Name),Short Answer,2,medium,Python Syntax,"for Name in [""Ramesh"" ""Suraj"" ""Priya""]: if Name[0]==""S"": print(Name)"
2016,Section B (Python),1d,Find output: Values=[10 20 30 40]; for Val in Values: for I in range(1 Val%9): print(I * end=); print(),Short Answer,2,medium,Python Loops,"1*
1*2*
1*2*3*
(blank line for last value)"
2016,Section B (Python),1e,Find output of Python Book class code: s=Book() t=Book(200) u=Book(300 Made Easy); ShowVal all 3; then Assign and ShowVal again,Long Answer,3,hard,Python Classes,"100 # Python
200 # Python
300 # Made Easy
105 # Made Python
215 # Easy Python
325 # Made EasyMade Easy"
2016,Section B (Python),1f,Find possible outputs and max/min PICKER: PICKER=random.randint(0 3); nested loop printing I end= for range(1 PICKER) then newline,Short Answer,2,medium,Python Loops and Random,Options (i) and (iv) are possible. Min PICKER=0 Max PICKER=3
2016,Section B (Python),2a,What is difference between Multilevel and Multiple inheritance? Give examples for both.,Short Answer,2,medium,Python OOP - Inheritance,Multilevel: chain A->B->C. Multiple: class C(A B) two parents. Example Multilevel: class C(B) where class B(A). Example Multiple: class C(A B).
2016,Section B (Python),2b,Output of try-except code with inputs AMAR THREE A123 1200? Explain try and except used.,Short Answer,2,medium,Python Exception Handling,Prompts Re-enter integer 3 times then prints 6. try attempts int conversion; except ValueError handles non-integer input and increments Start by 2.
2016,Section B (Python),2c,Write class CITY in Python with Ccode CName Pop KM Density and DenCal() Record() View() methods.,Long Answer,4,hard,Python Classes,"class CITY:
 def __init__(self): self.Ccode=0; self.CName=""""; self.Pop=0; self.KM=0; self.Density=0
 def DenCal(self): self.Density=self.Pop/self.KM
 def Record(self): [input fields]; self.DenCal()
 def View(self): print(all); if self.Density>10000: print(""Highly Populated City"")"
2016,Section B (Python),2d,How to implement abstract method in Python? Give example.,Short Answer,2,medium,Python OOP - Abstract Methods,Abstract method: unimplemented method in base class. Derived class defines it or raises NotImplementedError. Example: class Shape: def findArea(self): pass; class Square(Shape): def findArea(self): return self.side*self.side
2016,Section B (Python),2e,What is significance of super() method? Give example.,Short Answer,2,medium,Python OOP - Inheritance,"super() calls base class methods from derived class. Example: class GradStudent(Student): def __init__(self): super(GradStudent self).__init__(); self.subject="""""
2016,Section B (Python),3a,Show list after First Second Third pass of Selection Sort (descending): 12 14 -54 64 90 24,Short Answer,3,medium,Python - Sorting Algorithms,"Pass1: 90 14 -54 64 12 24
Pass2: 90 64 -54 14 12 24
Pass3: 90 64 24 14 12 -54"
2016,Section B (Python),3b,Write Binary Search method for descending-order list. Return position or -1 if not found.,Short Answer,2,medium,Python - Binary Search,def binarysrch(nums x): high=len(nums); low=0; while low<high: mid=(low+high)//2; midval=nums[mid]; if midval>x: low=mid+1; elif midval<x: high=mid; else: return mid; return -1
2016,Section B (Python),3c,Write Insert(City) and Delete(City) methods in Python for Queue data structure.,Long Answer,4,hard,Python - Queue Data Structure,"class queue: city=[]; def Insert(self): a=input(); queue.city.append(a); def Delete(self): if queue.city==[]: print(""Queue empty""); else: print(queue.city[0]); queue.city.pop(0)"
2016,Section B (Python),3d,Write method to find and display prime numbers between 2 to N. Pass N as argument.,Short Answer,3,medium,Python - Prime Numbers,def prime(N): for a in range(2 N): Prime=1; for I in range(2 a): if a%I==0: Prime=0; if Prime==1: print(a)
2016,Section B (Python),3e,Evaluate postfix expression showing stack status after every step: 12 2 / 34 20 - + 5 +,Short Answer,2,medium,Data Structures - Stack Evaluation,Steps: 12->12; 2->12 2; /->6; 34->6 34; 20->6 34 20; -->6 14; +->20; 5->20 5; +->25. Result=25
2016,Section B (Python),4a,Write Python statements to: (i) open MYPET.TXT in write mode (ii) open MYPET.TXT in read mode,Very Short Answer,1,easy,Python File Handling,"f1=open(""MYPET.TXT"" ""w""); f2=open(""MYPET.TXT"" ""r"")"
2016,Section B (Python),4b,Write Python method to write multiple lines of text into text file daynote.txt,Short Answer,2,medium,Python File Handling,"def writel(): f=open(""daynote.txt"" ""w""); while True: line=input(); f.write(line); if input(""More?"")==""N"": break; f.close()"
2016,Section B (Python),4c,Write method to search pickled file emp.dat and display record where Empno matches A0005.,Short Answer,3,medium,Python File Handling - Pickle,"def search(): f=open(""emp.dat"" ""rb""); try: while True: e=pickle.load(f); if e.Empno==""A0005"": e.Display(); except EOFError: pass; f.close()"
2016,Section C,5a,Observe PARTICIPANTS (3 rows) and EVENTS (2 rows) tables. Name RDBMS operation producing 6-row RESULT. Find Degree and Cardinality.,Short Answer,2,medium,SQL - RDBMS Operations,Cartesian Product. Degree=4. Cardinality=6
2016,Section C,5b(i),Display CNO CNAME TRAVELDATE from TRAVEL in descending order of CNO.,Very Short Answer,1,easy,SQL Queries,SELECT CNO CNAME TRAVELDATE FROM TRAVEL ORDER BY CNO DESC;
2016,Section C,5b(ii),Display CNAME of customers travelling by vehicle V01 or V02.,Very Short Answer,1,easy,SQL Queries,"SELECT CNAME FROM TRAVEL WHERE VCODE=""V01"" OR VCODE=""V02"";"
2016,Section C,5b(iii),Display CNO and CNAME for customers who travelled between 2015-12-31 and 2015-05-01.,Very Short Answer,1,easy,SQL Queries,"SELECT CNO CNAME FROM TRAVEL WHERE TRAVELDATE BETWEEN ""2015-05-01"" AND ""2015-12-31"";"
2016,Section C,5b(iv),Display all details from TRAVEL for customers with KM>120 in ascending order of NOP.,Very Short Answer,1,easy,SQL Queries,SELECT * FROM TRAVEL WHERE KM>120 ORDER BY NOP;
2016,Section C,5b(v),Find output: SELECT COUNT(*) VCODE FROM TRAVEL GROUP BY VCODE HAVING COUNT(*)>1;,Very Short Answer,1,easy,SQL - Aggregate Functions,COUNT(*) VCODE: 2 V01; 2 V02
2016,Section C,5b(vi),Find output: SELECT DISTINCT VCODE FROM TRAVEL;,Very Short Answer,1,easy,SQL Queries,V01 V02 V03 V04 V05
2016,Section C,5b(vii),Find output: SELECT A.VCODE CNAME VEHICLETYPE FROM TRAVEL A VEHICLE B WHERE A.VCODE=B.VCODE AND KM<90;,Very Short Answer,1,easy,SQL - Joins,V02 Ravi Anish AC DELUXE BUS; V04 John Malina CAR
2016,Section C,5b(viii),Find output: SELECT CNAME KM*PERKM FROM TRAVEL A VEHICLE B WHERE A.VCODE=B.VCODE AND A.VCODE=V05;,Very Short Answer,1,easy,SQL - Joins,Sahanubhuti 2700
2016,Section C,6a,Verify using Boolean Laws: X+ Y Z = X.Y.Z+ X.Y.Z+ XY.Z+ X.Y.Z+ X.Y.Z,Short Answer,2,medium,Boolean Algebra,LHS: X+YZ expanded using distribution gives all 5 minterms matching RHS. Verified.
2016,Section C,6b,Write Boolean Expression for Logic Circuit with inputs P Q R and output G.,Short Answer,2,medium,Boolean Algebra - Logic Gates,P.Q + P.R + Q.R
2016,Section C,6c,Derive Canonical SOP for G(A B C) from truth table with G=1 for minterms 0 2 6 7.,Very Short Answer,1,easy,Boolean Algebra - SOP,G(A B C) = A.B.C + A.B.C + A.B.C + A.B.C = Sigma(0 2 6 7)
2016,Section C,6d,Reduce using K-Map: F(P Q R S) = Sigma(0 4 5 8 9 10 11 12 13 15),Short Answer,3,medium,Boolean Algebra - K-Map,F(P Q R S) = RS + PQ + QR + PS
2016,Section C,7a,Differentiate between PAN and LAN types of networks.,Very Short Answer,1,easy,Networking,PAN: Personal Area Network around individual person. LAN: Local Area Network within confined area up to 1 km.
2016,Section C,7b,Which protocol helps transfer files to and from a remote computer?,Very Short Answer,1,easy,Networking - Protocols,FTP (File Transfer Protocol)
2016,Section C,7c,Write two advantages of 3G over 2G in terms of speed and services.,Very Short Answer,1,easy,Networking - Mobile Technologies,Speed: Faster web browsing faster file transfer. Services: Better video clarity better security.
2016,Section C,7d,Write two characteristics of Web 2.0.,Very Short Answer,1,easy,Internet and Web Technologies,1. Interactive through social media. 2. Easy online information exchange and collaboration.
2016,Section C,7e,What is the basic difference between Computer Worm and Trojan Horse?,Very Short Answer,1,easy,Cybersecurity,Trojan Horse: disguised malware user installs voluntarily. Computer Worm: self-replicating program spreading through network without user action.
2016,Section C,7f,Categorise JavaScript ASP VBScript JSP under Client side and Server Side scripts.,Very Short Answer,1,easy,Internet - Web Scripting,Client Side: JavaScript VBScript. Server Side: ASP JSP.
2016,Section C,7g(i),Suggest best SERVER location in YHUB (Village1 Village2 Village3 YTown). Justify.,Very Short Answer,1,easy,Networking - Network Planning,YTOWN - maximum computers (100) and closest to all other locations.
2016,Section C,7g(ii),Suggest best wired medium and cable layout to connect YHUB locations.,Very Short Answer,1,easy,Networking - Network Topology,Optical Fiber cable. Star topology with YTOWN at center.
2016,Section C,7g(iii),Which hardware device connects all computers within each YHUB location?,Very Short Answer,1,easy,Networking - Hardware Devices,Switch (or Hub)
2016,Section C,7g(iv),Which service/protocol enables live interaction between Head Office experts and YHUB?,Very Short Answer,1,easy,Networking - Communication Protocols,Videoconferencing (or VoIP)
