YEAR,SECTION,QUESTION_NUMBER,QUESTION_TEXT,QUESTION_TYPE,MARKS,DIFFICULTY_LABEL,TOPIC,ANSWER_TEXT
2017,Section B (Python),2a,List four characteristics of Object Oriented programming.,Very Short Answer,2.0,easy,OOP - Characteristics,"Encapsulation, Data Hiding, Abstraction, Inheritance, Polymorphism (any four)"
2017,Section B (Python),2b(i),"In class Exam, both __init__ and Assign have similar definitions. How are they different in execution?",Very Short Answer,1.0,easy,Python OOP - Constructor vs Method,__init__ is the constructor executed automatically when object is created. Assign is a regular member function that must be called explicitly to assign values.
2017,Section B (Python),2b(ii),Write statements to execute function 1 (__init__) and function 2 (Assign) of class Exam.,Very Short Answer,1.0,easy,Python OOP - Object Creation,"Function 1: E1=Exam(1,95). Function 2: E1.Assign(1,95)"
2017,Section B (Python),2c,"Define a class BOX in Python with instance attributes BoxID=101, Side=10, Area=0 and methods ExecArea(), NewBox(), ViewBox().",Long Answer,4.0,easy,Python OOP - Class Definition,class BOX: def __init__(self): self.BoxID=101; self.Side=10; self.Area=0 def ExecArea(self): self.Area=self.Side*self.Side def NewBox(self): self.BoxID=input('BoxID'); self.Side=input('Side'); self.ExecArea() def ViewBox(self): print self.BoxID; print self.Side; print self.Area
2017,Section B (Python),2d,Differentiate between static and dynamic binding in Python. Give suitable examples of each.,Short Answer,2.0,medium,Python OOP - Binding,"Static Binding: links function call to definition during compilation. Dynamic Binding: links function at runtime; code of function is unknown until executed, making programs more flexible."
2017,Section B (Python),2e,Write two methods in Python using Function Overloading (Polymorphism): (i) Area using Radius for circle (ii) Area using Base and Height for right-angled triangle.,Short Answer,2.0,medium,Python OOP - Polymorphism,"def Area(R): print 3.14*R*R. def Area(B,H): print 0.5*B*H. Note: Python does not support function overloading; second definition overrides the first."
2017,Section B (Python),3a,"Show the status of list [52,42,-10,60,90,20] after First, Second and Third pass of bubble sort in ascending order.",Long Answer,3.0,hard,Data Structures - Sorting (Bubble Sort),"Pass I: 42,-10,52,60,20,90. Pass II: -10,42,52,20,60,90. Pass III: -10,42,20,52,60,90"
2017,Section B (Python),3b,Write definition of method EvenSum(NUMBERS) to add those values in the list which are at odd positions.,Short Answer,3.0,medium,Python - Lists and Functions,def EvenSum(NUMBERS): n=len(NUMBERS); s=0; for i in range(n): if (i%2!=0): s=s+NUMBERS[i]; print(s)
2017,Section B (Python),3c,Write Addnew(Member) and Remove(Member) methods in Python to Add and Remove a Member from a List acting as Queue INSERT and DELETE operations.,Long Answer,4.0,hard,Python - Data Structures (Queue),"class queue: Member=[] def Addnew(self): a=input('enter member name:'); queue.Member.append(a) def Remove(self): if(queue.Member==[]): print 'Queue empty' else: print 'deleted:',queue.Member[0]; del queue.Member[0]"
2017,Section B (Python),3d,Write definition of Method MSEARCH(STATES) to display all state names from a list which are starting with alphabet M.,Short Answer,2.0,easy,Python - Lists and String Operations,def MSEARCH(STATES): for i in STATES: if i[0]=='M': print i
2017,Section B (Python),3e,"Evaluate the following Postfix notation of expression: 4,2,*,22,5,6,+,/,-",Short Answer,2.0,medium,Data Structures - Stack (Postfix Evaluation),"Stack trace: 4->4,2->4,2 *->8, 22->8,22, 5->8,22,5, 6->8,22,5,6, +->8,22,11, /->8,2, -->6. Answer: 6"
2017,Section B (Python),4a,Differentiate between file modes r+ and rb+ with respect to Python.,Very Short Answer,1.0,easy,Python - File Handling,r+: Opens file for both reading and writing; pointer at beginning. rb+: Opens file for both reading and writing in binary format; pointer at beginning.
2017,Section B (Python),4b,Write a method in Python to read lines from text file MYNOTES.TXT and display those lines starting with alphabet K.,Short Answer,2.0,medium,Python - File Handling (Text),"def display(): file=open('MYNOTES.TXT','r'); line=file.readline(); while line: if line[0]=='K': print line; line=file.readline(); file.close()"
2017,Section B (Python),4c,Write a method in Python to search and display content in pickled file FACTORY.DAT where FCTID matches value 105.,Long Answer,3.0,hard,Python - File Handling (Binary/Pickle),"import pickle def ques4c(): file=open('FACTORY.DAT','rb'); try: while True: f=pickle.load(file); if f.FCTID==105: f.Display() except EOFError: pass; file.close()"
2017,Section C,5a,Observe the table MEMBER and write the name of the RDBMS operation used to produce RESULT showing only M002/ADITYA/HUMANITIES. Also find Degree and Cardinality of RESULT.,Very Short Answer,2.0,hard,DBMS - Relational Algebra,Operation: SELECTION. Degree=3 (number of columns). Cardinality=1 (number of rows).
2017,Section C,5b(i),Write SQL query to display all details from table MEMBER in descending order of ISSUEDATE.,Very Short Answer,1.0,easy,SQL - SELECT with ORDER BY,SELECT * FROM MEMBER ORDER BY ISSUEDATE DESC;
2017,Section C,5b(ii),Write SQL query to display the DCODE and DTITLE of all Folk Type DVDs from the table DVD.,Very Short Answer,1.0,easy,SQL - SELECT with WHERE,"SELECT DCODE,DTITLE FROM DVD WHERE DTYPE='Folk';"
2017,Section C,5b(iii),Write SQL query to display the DTYPE and number of DVDs in each DTYPE from the table DVD.,Very Short Answer,1.0,easy,SQL - GROUP BY and Aggregate Functions,"SELECT COUNT(*),DTYPE FROM DVD GROUP BY DTYPE;"
2017,Section C,5b(iv),Write SQL query to display all NAME and ISSUEDATE of members who have DVDs issued in the year 2017.,Very Short Answer,1.0,easy,SQL - SELECT with WHERE (Date Filter),"SELECT NAME,ISSUEDATE FROM MEMBER WHERE ISSUEDATE>='2017-01-01' AND ISSUEDATE<='2017-12-31'; OR use BETWEEN or LIKE '2017%'"
2017,Section C,5b(v),Find the output of: SELECT MIN(ISSUEDATE) FROM MEMBER;,Very Short Answer,1.0,easy,SQL - Aggregate Functions,"MIN(ISSUEDATE)
2016-12-13"
2017,Section C,5b(vi),Find the output of: SELECT DISTINCT DTYPE FROM DVD;,Very Short Answer,1.0,easy,SQL - DISTINCT,"DISTINCT DTYPE: Folk, Classical, Rock"
2017,Section C,5b(vii),"Find the output of: SELECT D.DCODE,NAME,DTITLE FROM DVD D, MEMBER M WHERE D.DCODE=M.DCODE;",Very Short Answer,1.0,easy,SQL - Joins,"R102 AGAM SINGH A day in life
F102 ARTH JOSEPH Universal Soldier
C101 NISHA HANS The Planets"
2017,Section C,5b(viii),"Find the output of: SELECT DTITLE FROM DVD WHERE DTYPE NOT IN ('Folk','Classical');",Very Short Answer,1.0,easy,SQL - NOT IN,DTITLE: A day in life
2017,Section C,6a,State DeMorgan's Laws of Boolean Algebra and verify them using truth table.,Short Answer,2.0,easy,Boolean Algebra - DeMorgan's Laws,Law 1: (A.B)'=A'+B'. Law 2: (A+B)'=A'.B'. Verified using truth tables showing both sides equal for all input combinations.
2017,Section C,6b,Draw the Logic Circuit of the following Boolean Expression using only NOR Gates: (A+B).(C+D),Short Answer,2.0,medium,Boolean Algebra - Logic Circuits (NOR),"Use NOR(A,B) to get (A+B)', NOR(C,D) to get (C+D)', then NOR of those two outputs gives NOR((A+B)',(C+D)') = (A+B).(C+D) by DeMorgan's. Circuit uses 3 NOR gates."
2017,Section C,6c,"Derive a Canonical POS expression for Boolean function G(X,Y,Z) from the given truth table where G=0 at minterms 0,1,3,6.",Very Short Answer,1.0,easy,Boolean Algebra - POS Expression,"G(X,Y,Z) = (X+Y+Z).(X+Y+Z').(X+Y'+Z').(X'+Y'+Z) OR G(X,Y,Z) = ∏(0,1,3,6)"
2017,Section C,6d,"Reduce the Boolean expression E(U,V,Z,W)=Σ(2,3,6,8,9,10,11,12,13) to its simplest form using K-Map.",Long Answer,3.0,hard,Boolean Algebra - K-Map Simplification,"E(U,V,Z,W) = UZ' + V'Z + U'ZW' (one solution). OR E(U,V,Z,W) = UZ' + V'Z + U'ZW'"
2017,Section C,7a,Differentiate between communication using Optical Fiber and Ethernet Cable in context of wired medium of communication technologies.,Short Answer,2.0,medium,Networking - Transmission Media,"Optical Fibre: Very fast, expensive, immune to electromagnetic interference. Ethernet Cable: Slower than optical fiber, less expensive, prone to electromagnetic interference."
2017,Section C,7b,Janish used a pen drive to copy files; computer started malfunctioning. Which option caused this: (i) Computer Virus (ii) Spam Mail (iii) Computer Bacteria (iv) Trojan Horse? Justify.,Short Answer,2.0,medium,Networking - Cyber Security,(i) Computer Virus OR (iv) Trojan Horse. Justification: Pen drive containing virus/trojan corrupted system files causing abnormal functioning like restarts and stopping applications.
2017,Section C,7c,Ms. Raveena Sen accessed Admin password and provided confidential data to CEO about network vulnerability. Which option defines her: (i) Hacker (ii) Cracker (iii) Operator (iv) Network Admin? Justify.,Short Answer,2.0,medium,Networking - Cyber Security (Hacker vs Cracker),(i) Hacker. Justification: A Hacker is a person who breaks into the network of an organization without malicious intent; she informed the CEO about vulnerability.
2017,Section C,7d(i),Suggest the most appropriate block/location to house the SERVER in Chennai Office (Admin/Training/Accounts) for best connectivity. Justify.,Very Short Answer,1.0,easy,Networking - Network Design,Training Block - Because it has the maximum number of computers (150 computers).
2017,Section C,7d(ii),Suggest the best wired medium and draw the cable layout (Block to Block) to efficiently connect various blocks within the Chennai office compound.,Very Short Answer,1.0,easy,Networking - Transmission Media,"Best wired medium: Optical Fibre OR CAT5/CAT6/CAT7/CAT8 OR Ethernet Cable. Cable layout connects all three blocks (Admin, Training, Accounts) in a suitable topology."
2017,Section C,7d(iii),Suggest a device/software and its placement that would provide data security for the entire network of the Chennai office.,Very Short Answer,1.0,easy,Networking - Network Security,Firewall - placed with the server at the Training Block.
2017,Section C,7d(iv),Suggest a device and the protocol needed to provide wireless Internet access to all smartphone/laptop users in the Chennai office.,Very Short Answer,1.0,easy,Networking - Wireless,Device: WiFi Router OR WiMax OR RF Router OR Wireless Modem. Protocol: WAP OR 802.11 OR TCP/IP OR 802.16
2023,Section A,1,State True or False: Identifiers are names used to identify a variable or function in a program.,Very Short Answer,1.0,easy,Python,True
2023,Section A,2,Which of the following is a valid keyword in Python? (a) false (b) return (c) non_local (d) none,MCQ,1.0,easy,Python,(b) return
2023,Section A,4,Consider: 5<10 and 12>7 or not 7>4. Which is the correct output? (a) True (b) False (c) NONE (d) NULL,MCQ,1.0,easy,Python,(a) True
2023,Section A,5,"Select the correct output of: S='Amrit Mahotsav @ 75'; A=S.partition(' '); print(A). (a) ('Amrit Mahotsav','@','75') (b) ['Amrit','Mahotsav','@','75'] (c) ('Amrit','Mahotsav @ 75') (d) ('Amrit','','Mahotsav @ 75')",MCQ,1.0,easy,Python,"(d) ('Amrit', '', 'Mahotsav @ 75')"
2023,Section A,6,Which of the following mode keeps the file offset position at the end of the file? (a) r+ (b) r (c) w (d) a,MCQ,1.0,easy,File Handling,(d) a
2023,Section A,7,Which function is used to arrange the elements of a list in ascending order? (a) sort() (b) arrange() (c) ascending() (d) asort(),MCQ,1.0,easy,Python,(a) sort()
2023,Section A,8,Which of the following operators will return either True or False? (a) += (b) != (c) = (d) *=,MCQ,1.0,easy,Python,(b) !=
2023,Section A,9,"Which statement(s) give an error: Stud={'Murugan':100,'Mithu':95}; print(Stud[95]); Stud['Murugan']=99; print(Stud.pop()); print(Stud). (a) Statement 2 (b) Statement 3 (c) Statement 4 (d) Statements 2 and 4",MCQ,1.0,easy,Python,(d) Statements 2 and 4
2023,Section A,10,_____ is a number of tuples in a relation. (a) Attribute (b) Degree (c) Domain (d) Cardinality,MCQ,1.0,easy,SQL,(d) Cardinality
2023,Section A,11,"The syntax of seek() is file_object.seek(offset[,reference_point]). What is the default value of reference_point? (a) 0 (b) 1 (c) 2 (d) 3",MCQ,1.0,easy,File Handling,(a) 0
2023,Section A,12,______ clause is used with SELECT to display data in sorted form. (a) WHERE (b) ORDER BY (c) HAVING (d) DISTINCT,MCQ,1.0,easy,SQL,(b) ORDER BY
2023,Section A,13,______ is used for point-to-point communication such as radar and satellite. (a) INFRARED WAVES (b) BLUETOOTH (c) MICROWAVES (d) RADIOWAVES,MCQ,1.0,easy,Networking,(c) MICROWAVES
2023,Section A,14,What will print(4+3*5/3-5%2) evaluate to? (a) 8.5 (b) 8.0 (c) 10.2 (d) 10.0,MCQ,1.0,easy,Python,(b) 8.0
2023,Section A,15,Which function returns the sum of all elements of a list? (a) count() (b) sum() (c) total() (d) add(),MCQ,1.0,easy,Python,(b) sum()
2023,Section A,16,fetchall() method fetches all rows in a result set and returns a: (a) Tuple of lists (b) List of tuples (c) List of strings (d) Tuple of strings,MCQ,1.0,easy,Python - Database Connectivity,(b) List of tuples
2023,Section A,17,Assertion (A): To use a function from a particular module we need to import the module. Reason (R): import statement can be written anywhere in the program before using a function from that module.,MCQ,1.0,easy,Python,(b) Both A and R are true and R is not the correct explanation for A
2023,Section A,18,Assertion (A): A stack is a LIFO structure. Reason (R): Any new element pushed into the stack always gets positioned at the index after the last existing element in the stack.,MCQ,1.0,easy,Python - Data Structures,(c) A is true but R is false
2023,Section B,19,Rewrite correct code after removing syntactical errors. Underline corrections: def max_num(L): max=L(0); for a in L: if a > max; max=a; return max,Short Answer,2.0,medium,Python,def max_num(L): max=L[0]; for a in L: if a > max: max=a; return max
2023,Section B,20a,Differentiate between wired and wireless transmission.,Short Answer,2.0,medium,Networking,Wired: physical link made of wire/cable through which data travels as signals such as metallic cable or fiber-optic. Wireless: data travels in air as electromagnetic waves using antenna such as bluetooth microwaves infrared radio waves.
2023,Section B,20b,Differentiate between URL and domain name with appropriate example.,Short Answer,2.0,medium,Networking,URL is complete internet address of a webpage. Domain name is name of organisation with top-level internet domains. Example: URL: https://www.ncert.nic.in/textbook/textbook.htm; Domain Name: ncert.nic.in
2023,Section B,21a,"Given Listofnames=['Aman','Ankit','Ashish','Rajan','Rajat']. Write output of: print(Listofnames[-1:-4:-1])",Very Short Answer,1.0,easy,Python,"['Rajat', 'Rajan', 'Ashish']"
2023,Section B,21b,"Consider tup1=(10,20,30,(10,20,30),40). Write output of: print(tup1.index(20))",Very Short Answer,1.0,easy,Python,1
2023,Section B,22,Explain the concept of Alternate Key in RDBMS with appropriate example.,Short Answer,2.0,medium,SQL,Alternate Keys are all Candidate Keys of a table not used as Primary Key. Example: If table has both RegNo and AadhaarNo as unique columns and RegNo is chosen as Primary Key then AadhaarNo becomes the Alternate Key.
2023,Section B,23a-i,Write the full form of HTML.,Very Short Answer,1.0,easy,Networking,HTML: Hyper Text Markup Language
2023,Section B,23a-ii,Write the full form of TCP.,Very Short Answer,1.0,easy,Networking,TCP: Transmission Control Protocol
2023,Section B,23b,What is the need of Protocols?,Very Short Answer,1.0,easy,Networking,Protocols are needed for communication between computers to ensure successful and reliable data transmission over a network.
2023,Section B,24a,"Write output of: def short_sub(lst,n): for i in range(0,n): if len(lst)>4: lst[i]=lst[i]+lst[i] else: lst[i]=lst[i]; subject=['CS','HINDI','PHYSICS','CHEMISTRY','MATHS']; short_sub(subject,5); print(subject)",Short Answer,2.0,medium,Python,"['CSCS', 'HINDIHINDI', 'PHYSICSPHYSICS', 'CHEMISTRYCHEMISTRY', 'MATHSMATHS']"
2023,Section B,24b,"Write output of: a=30; def call(x): global a; if a%2==0: x+=a; else: x-=a; return x; x=20; print(call(35),end='#'); print(call(40),end='@')",Short Answer,2.0,medium,Python,65#70@
2023,Section B,25a,Differentiate between CHAR and VARCHAR data types in SQL with appropriate example.,Short Answer,2.0,medium,SQL,CHAR is fixed length character type: CHAR(10) always reserves 10 character spaces padding with spaces if shorter. VARCHAR is variable-length: VARCHAR(30) allows max 30 but only uses actual storage needed. Example: 'CITY' in CHAR(20) uses 20 bytes but in VARCHAR(20) uses only 5 bytes.
2023,Section B,25b,Name any two DDL and any two DML commands.,Very Short Answer,2.0,easy,SQL,DDL: CREATE and ALTER; DML: INSERT and UPDATE
2023,Section C,26a,Consider tables LOAN (LOAN_NO B_NAME AMOUNT) and BORROWER (CUST_NAME LOAN_NO). How many rows and columns in the natural join?,Short Answer,1.0,easy,SQL,Rows: 2; Columns: 4
2023,Section C,26b-i,"Write output of: SELECT F_NAME, CITY FROM WORKER ORDER BY STATE DESC;",Short Answer,1.0,medium,SQL,SAHIL KANPUR; VEDA KANPUR; SAMEER ROOP NAGAR; MAHIR SONIPAT; MARY DELHI; ATHARVA DELHI
2023,Section C,26b-ii,Write output of: SELECT DISTINCT(CITY) FROM WORKER;,Short Answer,1.0,easy,SQL,KANPUR; ROOP NAGAR; DELHI; SONIPAT
2023,Section C,26b-iii,"Write output of: SELECT F_NAME, STATE FROM WORKER WHERE L_NAME LIKE '_HA%';",Short Answer,1.0,medium,SQL,SAHIL UTTAR PRADESH; MAHIR HARYANA; ATHARVA DELHI; VEDA UTTAR PRADESH
2023,Section C,26b-iv,"Write output of: SELECT CITY, COUNT(*) FROM WORKER GROUP BY CITY;",Short Answer,1.0,easy,SQL,KANPUR 2; ROOP NAGAR 1; DELHI 2; SONIPAT 1
2023,Section C,27a,Write Python function LongLines() which reads contents of 'LINES.TXT' and displays lines which have at least 10 words.,Short Answer,3.0,hard,File Handling,def LongLines(): myfile=open('LINES.TXT'); all_lines=myfile.readlines(); for aline in all_lines: if len(aline.split())>=10: print(aline); myfile.close()
2023,Section C,27b,Write function count_Dwords() to count words ending with a digit in text file 'Details.txt' and display the count.,Short Answer,3.0,hard,File Handling,"def count_Dwords(): with open('Details.txt','r') as F: S=F.read(); Wlist=S.split(); count=0; for W in Wlist: if W[-1].isdigit(): count+=1; print('Number of words ending with a digit are',count)"
2023,Section C,28a-i,"Write output of: SELECT MIN(PRICE), MAX(PRICE) FROM COMPUTER;",Short Answer,1.0,easy,SQL,MIN(PRICE): 200; MAX(PRICE): 4300
2023,Section C,28a-ii,"Write output of: SELECT COMPANY, COUNT(*) FROM COMPUTER GROUP BY COMPANY HAVING COUNT(COMPANY)>1;",Short Answer,1.0,easy,SQL,LOGITECH 2; CANON 2
2023,Section C,28a-iii,"Write output of: SELECT PROD_NAME, QTY_SOLD FROM COMPUTER C, SALES S WHERE C.PROD_ID=S.PROD_ID AND TYPE='INPUT';",Short Answer,1.0,easy,SQL,MOUSE 3; KEYBOARD 2; JOYSTICK 2
2023,Section C,28a-iv,"Write output of: SELECT PROD_NAME, COMPANY, QUARTER FROM COMPUTER C, SALES S WHERE C.PROD_ID=S.PROD_ID;",Short Answer,1.0,medium,SQL,MOUSE LOGITECH 2; LASER PRINTER CANON 1; KEYBOARD LOGITECH 2; JOYSTICK IBALL 1
2023,Section C,28b,Write the command to view all databases.,Very Short Answer,1.0,easy,SQL,SHOW DATABASES;
2023,Section C,29,"Write function EOReplace() in Python which accepts list L of numbers and increments even numbers by 1 and decrements odd numbers by 1. E.g. L=[10,20,30,40,35,55] becomes L=[11,21,31,41,34,54]",Short Answer,3.0,hard,Python,def EOReplace(L): for i in range(len(L)): if L[i]%2==0: L[i]=L[i]+1 else: L[i]=L[i]-1; print(L)
2023,Section C,30a,Write Push_Cust() to push customers' names staying in 'Delux' room type onto stack Hotel. Write Pop_Cust() to pop and display names showing 'Underflow' when stack is empty.,Short Answer,3.0,medium,Python - Data Structures,Hotel=[]; def Push_Cust(): for rec in Customer: if rec[1]=='Delux': Hotel.append(rec[0]); def Pop_Cust(): while len(Hotel)>0: print(Hotel.pop()) else: print('Underflow')
2023,Section C,30b,Write function Push(Vehicle) where Vehicle is a dictionary {Car_Name:Maker}. Push names of cars manufactured by 'TATA' (all cases) onto the stack.,Short Answer,3.0,hard,Python - Data Structures,stack=[]; def Push(Vehicle): for v_name in Vehicle: if Vehicle[v_name].upper()=='TATA': stack.append(v_name)
2023,Section D,31-i,Suggest the most suitable place to install the server for the Delhi branch with a suitable reason.,Very Short Answer,1.0,easy,Networking,Branch D as it has maximum number of computers (115).
2023,Section D,31-ii,Suggest an ideal layout for connecting all branches within Delhi.,Short Answer,1.0,easy,Networking,Star topology with Branch D as central node based on server location OR layout based on minimum distances between branches.
