year,section,question_number,question_text,question_type,marks,difficulty_label,topic,answer_text
2024,Section B,23A-ii,"Write Python statement to display number of occurrences of substring 'is' in string message. E.g. 'This is his book' should output 3.",Very Short Answer,1,medium,Python,print(message.count("is"))
2024,Section B,23B,A tuple named subject stores names of different subjects. Write Python commands to convert the given tuple to a list and thereafter delete the last element of the list.,Short Answer,2,medium,Python,"subject=list(subject); subject.pop()"
2024,Section B,24A,"Ms. Veda created table Sports with columns Game_id P_Age G_name. Write command to add Category column. Then insert record: Game_id=G42 P_Age=Above 18 G_name=Chess Category=Senior.",Short Answer,2,medium,SQL,"ALTER TABLE SPORTS ADD CATEGORY VARCHAR(10); INSERT INTO SPORTS VALUES('G42','Above 18','Chess','Senior');"
2024,Section B,24B-i,Write SQL command to view the list of tables in the database Exam.,Very Short Answer,1,medium,SQL,SHOW TABLES;
2024,Section B,24B-ii,Write SQL command to view the structure of table Term1.,Very Short Answer,1,medium,SQL,DESCRIBE Term1;
2024,Section B,25,"Predict the output of the following code: def callon(b=20,a=10): b=b+a; a=b-a; print(b,'#',a); return b; x=100; y=200; x=callon(x,y); print(x,'@',y); y=callon(y); print(x,'@',y)",Short Answer,2,medium,Python,"300 # 100\n300 @ 200\n210 # 200\n300 @ 210"
2024,Section C,26,"Write output on execution of: S='Racecar Car Radar'; L=S.split(); for W in L: x=W.upper(); if x==x[::-1]: for I in x: print(I,end='*') else: for I in W: print(I,end='#'); print()",Short Answer,3,medium,Python,"R*A*C*E*C*A*R*\nC#a#r#\nR*A*D*A*R*"
2024,Section C,27-i,"Consider table ORDERS. Write output of: SELECT ITEM, SUM(QTY) FROM ORDERS GROUP BY ITEM;",Short Answer,1,medium,SQL,"RICE 48; PULSES 29; WHEAT 80"
2024,Section C,27-ii,Write output of: SELECT ITEM QTY FROM ORDERS WHERE ORDATE BETWEEN '2023-11-01' AND '2023-12-31';,Short Answer,1,medium,SQL,"RICE 25; WHEAT 28"
2024,Section C,27-iii,"Write output of: SELECT ORDNO ORDATE FROM ORDERS WHERE ITEM='WHEAT' AND RATE>=60;",Short Answer,1,medium,SQL,"1004 2023-12-25; 1007 2024-04-30"
2024,Section C,28A,"Write user defined function showInLines() which reads contents of text file STORY.TXT and displays every sentence in a separate line. Sentence ends with full stop question mark or exclamation mark.",Short Answer,3,medium,File Handling,"def showInLines(): with open('STORY.TXT','r') as F: S=F.read(); for W in S: if W=='.' or W=='?' or W=='!': print(W) elif W=='\n': print(end='') else: print(W,end='')"
2024,Section C,28B,Write a function c_words() in Python that separately counts and displays the number of uppercase and lowercase alphabets in a text file Words.txt.,Short Answer,3,medium,File Handling,"def c_words(): f=open('Words.txt','r'); Txt=f.read(); CLower=CUpper=0; for i in Txt: [CUpper+1 if i.isupper() else None]; if i.islower(): CLower+=1 elif i.isupper(): CUpper+=1; print(CLower,CUpper); f.close()"
2024,Section C,29-i,Write SQL to add primary key constraint to column P_id in existing table Projects.,Short Answer,1,medium,SQL,"ALTER TABLE Projects ADD PRIMARY KEY (P_id);"
2024,Section C,29-ii,Write SQL to change the language to Python of the project whose id is P002 in table Projects.,Short Answer,1,medium,SQL,"UPDATE Projects SET LANGUAGE='Python' WHERE P_id='P002';"
2024,Section C,29-iii,Write SQL to delete the table Projects from MySQL database along with its data.,Short Answer,1,medium,SQL,DROP TABLE Projects;
2024,Section C,30,"Write PushBig() to check every number from list Nums and push numbers with 5 or more digits into stack BigNums. Write PopBig() to pop numbers from BigNums and display them with 'Stack Empty' when no numbers remain.",Short Answer,3,medium,Python - Data Structures,"def PushBig(Nums,BigNums): for N in Nums: if len(str(N))>=5: BigNums.append(N); def PopBig(BigNums): while BigNums: print(BigNums.pop()); print('Stack Empty')"
2024,Section D,31-i,Display the student name and their stop name from tables Admin and Transport.,Short Answer,1,hard,SQL,"SELECT S_name, Stop_name FROM Admin, Transport WHERE Admin.S_id=Transport.S_id;"
2024,Section D,31-ii,Display the number of students whose S_type is not known from table Admin.,Short Answer,1,hard,SQL,"SELECT COUNT(*) FROM Admin WHERE S_type IS NULL;"
2024,Section D,31-iii,Display all details of students whose name starts with 'V' from table Admin.,Short Answer,1,hard,SQL,"SELECT * FROM Admin WHERE S_name LIKE 'V%';"
2024,Section D,31-iv,Display student id and address in alphabetical order of student name from table Admin.,Short Answer,1,hard,SQL,"SELECT S_id, Address FROM Admin ORDER BY S_name;"
2024,Section D,32,"Write Add_Device() to accept a record from user and add it to Peripheral.csv with structure [P_id,P_name,Price]. Write Count_Device() to count and display number of peripheral devices whose price is less than 1000.",Long Answer,4,hard,File Handling,"import csv; def Add_Device(): F=open('Peripheral.csv','a',newline=''); W=csv.writer(F); P_id=int(input('ID')); P_name=input('Name'); Price=int(input('Price')); W.writerow([P_id,P_name,Price]); F.close(); def Count_Device(): F=open('Peripheral.csv','r'); L=list(csv.reader(F)); Count=0; [Count+1 for D in L if int(D[2])<1000]; print(sum(1 for D in L if int(D[2])<1000)); F.close()"
2024,Section E,33-i,Suggest and draw the cable layout to efficiently connect various locations in Chennai division (Vajra Trishula Sudershana) for connecting the digital devices.,Short Answer,1,hard,Networking,A valid star or mesh topology layout connecting Vajra-Sudershana (300m) and Vajra-Trishula (350m) with Vajra as the central node having maximum computers (120).
2024,Section E,33-ii,Which block in Chennai division should host the server? Justify your answer.,Very Short Answer,1,hard,Networking,Vajra should host the server as it has the maximum number of computers (120).
2024,Section E,33-iii,Which fast and effective wired transmission medium should be used to connect the prime office at Bengaluru with the Chennai division?,Very Short Answer,1,hard,Networking,Optical Fiber
2024,Section E,33-iv,Which network device will be used to connect digital devices within each location of Chennai division so that they may communicate with each other?,Very Short Answer,1,hard,Networking,Switch (also acceptable: Hub or Router)
2024,Section E,33-v,A considerable amount of data loss is noticed between different locations of Chennai division. Suggest a networking device that should be installed to refresh data and reduce data loss during transmission.,Very Short Answer,1,hard,Networking,Repeater
2024,Section E,34A-i,Differentiate between 'w' and 'a' file modes in Python.,Short Answer,2,hard,File Handling,"'w' mode: Opens file for writing; creates new file if not exists; file pointer at beginning; existing contents are truncated/lost. 'a' mode: Opens file for appending; creates new file if not exists; file pointer at end; new data added at end without deleting previous contents."
2024,Section E,34A-ii,"Consider binary file items.dat containing records in format {item_id:[item_name,amount]}. Write function Copy_new() that copies all records whose amount is greater than 1000 from items.dat to new_items.dat.",Long Answer,3,hard,File Handling,"import pickle; def Copy_new(): F2=open('new_items.dat','wb'); try: F1=open('items.dat','rb'); Data1=pickle.load(F1); Data2={k:v for k,v in Data1.items() if v[1]>1000}; pickle.dump(Data2,F2); F2.close(); F1.close() except: print('File not found!')"
2024,Section E,34B-i,What is the advantage of using with clause while opening a data file in Python? Also give syntax of with clause.,Short Answer,2,hard,File Handling,"Advantage: File opened using with clause is closed automatically once control exits the with block. Syntax: with open(file_name, access_mode) as file_object: (perform file operations)"
2024,Section E,34B-ii,"Binary file EMP.DAT has structure [Emp_Id, Name, Salary]. Write user defined function disp_Detail() that reads contents and displays details of employees whose salary is below 25000.",Long Answer,3,hard,File Handling,"import pickle; def disp_Detail(): try: with open('EMP.DAT','rb') as F: Data=pickle.load(F); [print(D) for D in Data if D[2]<25000] except: print('File Not Found!!!')"
2024,Section E,35A-i,Define Cartesian Product with respect to RDBMS.,Very Short Answer,1,hard,SQL,Cartesian Product combines rows/tuples from two tables/relations resulting in all pairs of rows from both tables. It is denoted by the symbol X.
2024,Section E,35A-ii,"Write Python program to update quantity to 20 of records whose item code is 111 in table shop in MySQL database Keeper. Username: admin Password: Shopping Host: localhost.",Long Answer,4,hard,Python - Database Connectivity,"import pymysql as pm; DB=pm.connect(host='localhost',user='admin',passwd='Shopping',database='Keeper'); MyCursor=DB.cursor(); SQL='UPDATE SHOP SET QTY=20 WHERE ITEM_CODE=111'; MyCursor.execute(SQL); DB.commit()"
2024,Section E,35B-i,Give any two features of SQL.,Very Short Answer,1,hard,SQL,"SQL stands for Structured Query Language. It is used to retrieve and view specific data from a table in a database. It is case insensitive. Each query ends with a semicolon."
2024,Section E,35B-ii,"Write Python code to display all details of passengers from table flight in MySQL database Travel. Username: root Password: airplane Host: localhost.",Long Answer,4,hard,Python - Database Connectivity,"import pymysql as pm; DB=pm.connect(host='localhost',user='root',password='airplane',database='Travel'); MyCursor=DB.cursor(); MyCursor.execute('SELECT * FROM Flight'); Rec=MyCursor.fetchall(); [print(R) for R in Rec]"
